TIME;RPM;MAP;Lambda 1;Lambda target;Short term trim;VE;Charge temp;Fuel pressure;TPS;DBW Target source;Ethanol content;F.ASE correction;
2.760;1221;40;0.887;0.931;-3.875;45.400;32;3.312;4.400;2;25.000;0;
2.800;1217;38;0.889;0.931;-3.875;45.400;33;3.312;4.400;2;25.000;0;
2.840;1221;40;0.891;0.931;-3.875;45.500;33;3.312;4.400;2;25.000;0;
2.880;1228;38;0.893;0.931;-3.875;45.500;33;3.312;4.400;2;25.000;0;
2.920;1231;40;0.894;0.931;-3.875;45.500;33;3.312;4.400;2;25.000;0;
2.960;1231;40;0.896;0.931;-3.875;45.500;33;3.312;4.400;2;25.000;0;
3.000;1239;40;0.897;0.931;-3.875;45.500;34;3.312;4.400;2;25.000;0;
3.040;1245;40;0.899;0.931;-3.875;45.500;34;3.312;4.400;2;25.000;0;
3.080;1248;40;0.901;0.931;-3.875;45.400;34;3.312;4.400;2;25.000;0;
3.120;1248;40;0.899;0.931;-3.875;45.500;34;3.312;4.400;2;25.000;0;
3.160;1238;40;0.898;0.931;-3.875;45.500;34;3.312;4.400;2;25.000;0;
3.200;1238;40;0.897;0.931;-3.938;45.500;33;3.312;4.400;2;25.000;0;
3.240;1237;40;0.895;0.931;-3.938;45.400;34;3.312;4.400;2;25.000;0;
3.280;1244;40;0.894;0.931;-3.938;45.500;33;3.312;4.400;2;25.000;0;
3.320;1244;40;0.893;0.931;-3.938;45.400;33;3.312;4.400;2;25.000;0;
3.360;1238;40;0.894;0.931;-3.938;45.500;33;3.312;4.400;2;25.000;0;
3.400;1237;40;0.891;0.931;-3.938;45.300;34;3.312;4.400;2;25.000;0;
3.440;1237;40;0.890;0.931;-3.938;45.500;32;3.312;4.400;2;25.000;0;
3.480;1234;40;0.890;0.931;-3.938;45.300;34;3.312;4.400;2;25.000;0;
3.520;1237;40;0.893;0.931;-3.938;45.500;32;3.312;4.400;2;25.000;0;
3.560;1239;38;0.896;0.931;-3.938;45.300;33;3.312;4.400;2;25.000;0;
3.600;1231;40;0.894;0.931;-3.938;45.500;33;3.312;4.400;2;25.000;0;
3.640;1231;40;0.895;0.931;-3.938;45.300;33;3.312;4.400;2;25.000;0;
3.680;1234;40;0.900;0.931;-3.938;45.500;33;3.312;4.400;2;25.000;0;
3.720;1232;38;0.901;0.931;-3.938;45.300;32;3.312;4.400;2;25.000;0;
3.760;1235;40;0.901;0.931;-3.938;45.500;33;3.312;4.400;2;25.000;0;
3.800;1231;38;0.900;0.931;-4.000;45.500;33;3.312;4.400;2;25.000;0;
3.840;1232;40;0.900;0.931;-4.000;45.500;33;3.312;4.400;2;25.000;0;
3.880;1232;38;0.903;0.931;-4.000;45.500;34;3.312;4.400;2;25.000;0;
3.920;1235;40;0.906;0.931;-4.000;45.500;34;3.312;4.400;2;25.000;0;
3.960;1232;40;0.906;0.931;-4.000;45.500;33;3.312;4.400;2;25.000;0;
4.000;1230;40;0.903;0.931;-4.000;45.500;35;3.312;4.400;2;25.000;0;
4.040;1229;40;0.901;0.931;-4.000;45.500;33;3.312;4.400;2;25.000;0;
4.080;1224;38;0.904;0.931;-4.000;45.300;34;3.312;4.400;2;25.000;0;
4.120;1224;40;0.906;0.931;-4.000;45.500;33;3.312;4.400;2;25.000;0;
4.160;1226;40;0.904;0.931;-4.000;45.300;33;3.375;4.400;2;25.000;0;
4.200;1218;40;0.902;0.931;-4.000;45.400;34;3.375;4.400;2;25.000;0;
4.240;1215;40;0.903;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.280;1218;40;0.903;0.931;-4.000;45.400;34;3.312;4.400;2;25.000;0;
4.320;1218;40;0.905;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.360;1214;40;0.905;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.400;1209;40;0.907;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.440;1214;40;0.909;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.480;1216;40;0.908;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.520;1216;40;0.912;0.931;-4.000;45.400;33;3.375;4.400;2;25.000;0;
4.560;1220;40;0.916;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.600;1214;40;0.914;0.931;-4.000;45.400;32;3.312;4.400;2;25.000;0;
4.640;1217;40;0.909;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.680;1222;40;0.907;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.720;1222;40;0.908;0.931;-4.000;45.400;33;3.312;4.400;2;25.000;0;
4.760;1223;40;0.907;0.931;-4.000;45.500;34;3.312;4.400;2;25.000;0;
4.800;1228;40;0.906;0.931;-4.062;45.500;33;3.312;4.400;2;25.000;0;
4.840;1237;40;0.905;0.931;-4.062;45.500;33;3.312;4.400;2;25.000;0;
4.880;1244;40;0.902;0.931;-4.062;45.500;34;3.312;4.400;2;25.000;0;
4.920;1251;40;0.899;0.931;-4.062;45.500;33;3.375;4.400;2;25.000;0;
4.960;1251;40;0.899;0.931;-4.062;45.400;35;3.312;4.400;2;25.000;0;
